title;field_artikelnummer;" 	field_level_1";" 	field_level_2";field_level_3;field_level_4;" 	field_auf10cmrunden";field_aufschlaginprozent;" 	field_breite";" 	field_dateieinrichtung";" 	field_exemplare"
Briefpapier, 0100er Auflage, 1/0;K-BP-100-1/0-;Briefpapier;0100er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 0100er Auflage, 1/1;K-BP-100-1/1-;Briefpapier;0100er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 0100er Auflage, 4/0;K-BP-100-4/0-;Briefpapier;0100er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 0100er Auflage, 4/1;K-BP-100-4/1-;Briefpapier;0100er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 0100er Auflage, 4/4;K-BP-100-4/4-;Briefpapier;0100er Auflage;Briefpapier 4/4;;;;;;
Briefpapier, 0200er Auflage, 1/0;K-BP-200-1/0-;Briefpapier;0200er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 0200er Auflage, 1/1;K-BP-200-1/1-;Briefpapier;0200er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 0200er Auflage, 4/0;K-BP-200-4/0-;Briefpapier;0200er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 0200er Auflage, 4/1;K-BP-200-4/1-;Briefpapier;0200er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 0200er Auflage, 4/4;K-BP-200-4/4-;Briefpapier;0200er Auflage;Briefpapier 4/4;;;;;;
Briefpapier, 0250er Auflage, 1/0;K-BP-250-1/0-;Briefpapier;0250er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 0250er Auflage, 1/1;K-BP-250-1/1-;Briefpapier;0250er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 0250er Auflage, 4/0;K-BP-250-4/0-;Briefpapier;0250er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 0250er Auflage, 4/1;K-BP-250-4/1-;Briefpapier;0250er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 0250er Auflage, 4/4;K-BP-250-4/4-;Briefpapier;0250er Auflage;Briefpapier 4/4;;;;;;
Briefpapier, 0300er Auflage, 1/0;K-BP-300-1/0-;Briefpapier;0300er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 0300er Auflage, 1/1;K-BP-300-1/1-;Briefpapier;0300er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 0300er Auflage, 4/0;K-BP-300-4/0-;Briefpapier;0300er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 0300er Auflage, 4/1;K-BP-300-4/1-;Briefpapier;0300er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 0300er Auflage, 4/4;K-BP-300-4/4-;Briefpapier;0300er Auflage;Briefpapier 4/4;;;;;;
Briefpapier, 0500er Auflage, 1/0;K-BP-500-1/0-;Briefpapier;0500er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 0500er Auflage, 1/1;K-BP-500-1/1-;Briefpapier;0500er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 0500er Auflage, 4/0;K-BP-500-4/0-;Briefpapier;0500er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 0500er Auflage, 4/1;K-BP-500-4/1-;Briefpapier;0500er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 0500er Auflage, 4/4;K-BP-500-4/4-;Briefpapier;0500er Auflage;Briefpapier 4/4;;;;;;
Briefpapier, 1000er Auflage, 1/0;K-BP-1000-1/0-;Briefpapier;1000er Auflage;Briefpapier 1/0;;;;;;
Briefpapier, 1000er Auflage, 1/1;K-BP-1000-1/1-;Briefpapier;1000er Auflage;Briefpapier 1/1;;;;;;
Briefpapier, 1000er Auflage, 4/0;K-BP-1000-4/0-;Briefpapier;1000er Auflage;Briefpapier 4/0;;;;;;
Briefpapier, 1000er Auflage, 4/1;K-BP-1000-4/1-;Briefpapier;1000er Auflage;Briefpapier 4/1;;;;;;
Briefpapier, 1000er Auflage, 4/4;K-BP-1000-4/4-;Briefpapier;1000er Auflage;Briefpapier 4/4;;;;;;
